Name,Country,Type,Ratings,Price_USD,Rating
Worthy Park  Rum-Bar Premium Rum Cream ,Jamaica,Flavored,1,None,6.0
"The Nectar Of The Daily Drams Guyanan Rum 16-Year 2000 Diamond 52,3° ",Belgium,Aged,1,None,8.0
Twenty Boat Spiced ,USA,Spiced,1,None,7.0
Dillon Wheat Rhum,Martinique,Rhum Agricole,1,None,7.0
Braasch Gold ,Germany,Gold,1,None,6.0
Trois Rivieres Millésime 1989 ,Martinique,Aged,1,None,8.0
George Bowman Colonial Era Dark ,USA,Dark,1,None,6.0
New Grove Single Cask 2007 ,Mauritius,Aged,1,None,7.0
Trois Rivieres 1998 ,Martinique,Aged,1,None,5.0
Hispaniola Whilte ,Dominican Republic,Light,1,None,5.0
HSE Eleve sous bois ,Martinique,Gold,1,42.47,8.0
Zapatera Reserva 1996 ,Nicaragua,Aged,1,50.97,7.0
Tres Hombres Old Bayan 8-Year ,Caribbean,Aged,1,None,8.0
Bologne Diva ,Guadeloupe,Light,1,None,4.0
Puerto Angel Amber ,Mexico,Gold,1,None,7.0
Bundaberg Darren Lockyer 6-Year ,Australia,Aged,1,None,6.0
Oliver &amp; Oliver Rhumba Punch au Rhum Pineapple&amp;Rum ,Dominican Republic,Flavored,1,None,7.0
La Mauny Blanc Acacia Rhum,Martinique,Rhum Agricole,1,None,6.0
Gunroom Spirit Navy Rum ,United Kingdom,Overproof,1,None,4.0
Sailer Jerry Spiced Rum Sailer Jerry’ Spiced Rum  ,USA,Aged,1,None,8.0
Rum Nation Barbados 8 year 2002 edition ,Italy,Aged,1,None,3.0
Almirante Ron Añejo ,Spain,Dark,1,None,6.0
New Grove Lime Delight ,Mauritius,Flavored,1,None,1.0
AS Liviko Caribba Negro ,Estonia,Aged,1,None,3.0
Pixan Pixan ,Mexique,Aged,1,None,5.0
Brugal Titanium ,Dominican Republic,Light,1,None,7.0
Pierre's Texas ,USA,Gold,1,None,7.0
Plantation Brazil 1999 Single Cask C. Ferrand Plantation Old Reserve ,Caribbean,Aged,1,None,6.0
Ron de Jeremy Ron de Jeremy Reserva ,Panama,Aged,1,None,8.0
Santero 7-Year ,Cuba,Aged,1,None,5.0
Beija-Flor Reserva Especial Cachaca,Brazil,Cachaca,1,None,9.0
Triple Eight Distilleries Hurricane ,USA,Gold,1,None,8.0
Richardson Richardson ,Mexico,Aged,1,None,6.0
Old St. Pete Palm and Oak Spiced ,USA,Spiced,1,None,5.0
La Mauny Ter Rouj ,Martinique,Aged,1,None,7.0
Bundaberg Banana &amp; Toffee ,Australia,Flavored,1,None,7.0
J. Bally Millésime 2002 Rhum,Martinique,Rhum Agricole,1,None,8.0
Cadenhead's Classic Dark ,UK,Dark,1,None,8.0
Mount Gay Origin Series Vol I Virgin Cask ,Barbados,Aged,1,None,7.0
Bacardi 101 ,Puerto Rico,Aged,1,None,8.0
"Blackadder Finest Jamaica Hampden 16-Year 58,1% ",Caribbean,Aged,1,None,8.0
Caribana Sol CaribanaSolRum ,Barbados,Aged,1,None,7.0
Compagnie des Indes Port Mourant Rum 13  ,Caribbean,Aged,1,None,4.0
Bacardi Cherry ,Puerto Rico,Flavored,1,None,2.0
Cave Guildive Demerara Rum Enmore 1990 ,Switzerland,Aged,1,None,10.0
Jamaica 1977 35-Year ,Jamaica,Aged,1,None,8.0
Nova Scotia Spirit Company Fisherman's helper ,Canada,Light,1,None,8.0
XM Classic Dark ,Guyana,Dark,1,None,8.0
Ron Carupano Passion ,Venezuela,Flavored,1,None,7.0
Silver Seal Enmore 2002 ,Italy,Aged,1,None,8.0
Tremols El Toro ,Dominican Republic,Gold,1,None,8.0
Ron Centenario 30-Year Special Blend ,Costa Rica,Aged,1,None,10.0
Westerhall Jack Iron ,Grenada,Gold,1,None,7.0
Mount Gay Origin Series Vol I Charred Cask ,Barbados,Aged,1,None,7.0
Bozkov Special Mango ,Czech Republic,Flavored,1,None,5.0
Worship Street Whistling Shop Jagertee Liqueur ,UK,n/a,1,None,6.0
Poisson Père Labat Rhum,France,Rhum Agricole,1,None,5.0
UF30E Uitvlugt 1990 ,Guyana,Aged,1,None,10.0
Riviere du Mat Blanc ,Reunion,Light,1,None,6.0
La Favorite 1995 - Cuvée La Confrérie du Rhum Cask 26 ,Martinique,Aged,1,None,9.0
Rumson's Spiced ,USA,Spiced,1,None,9.0
Inner Circle Blue Dot ,Australia,Aged,1,None,8.0
